partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
998074,34039900,ELGI AIRLUBE CLEANER-20L(5.3g),Lubricants,Oil,Ltr,18,57.8,1493.25,,,,"Sold by the litre. Supplied in a 20 L pack; pack price Rs 29865. Source sheet marks this row ""Per litre price""."
998075,34039900,ELGI AIRLUBE CLEANER-5L(1.3g),Lubricants,Oil,Ltr,18,240.8,1556.0,,,,"Sold by the litre. Supplied in a 5 L pack; pack price Rs 7780. Source sheet marks this row ""Per litre price""."
998077,34039900,ELGI AIRLUBE FG (55G),Lubricants,Oil,Ltr,18,6.06,1628.74,,,,"Sold by the litre. Supplied in a 208 L pack; pack price Rs 338778. Source sheet marks this row ""Per litre price""."
998078,34039900,ELGI AIRLUBE FG (5.3G),Lubricants,Oil,Ltr,18,69.55,1797.45,,,,"Sold by the litre. Supplied in a 20 L pack; pack price Rs 35949. Source sheet marks this row ""Per litre price""."
998101,34039900,ELGI AIRLUBE UT SYNTHETIC PLUS - 5L (1.3G),Lubricants,Oil,Ltr,18,1350.2,1744.8,,,,"Sold by the litre. Supplied in a 5 L pack; pack price Rs 8724. Source sheet marks this row ""Per Pack price""."
998102,34039900,ELGI AIRLUBE UT SYN PLUS 20L(5.3G),Lubricants,Oil,Ltr,18,1309.45,1692.35,,,,"Sold by the litre. Supplied in a 20 L pack; pack price Rs 33847. Source sheet marks this row ""Per Pack price""."
998103,34039900,ELGI AIRLUBE UT SYN PLUS 209L,Lubricants,Oil,Ltr,18,1186.71,1609.86,,,,"Sold by the litre. Supplied in a 209 L pack; pack price Rs 336460. Source sheet marks this row ""Per Pack price""."
998113,27101980,AIR LUBE PLUS - (5L),Lubricants,Oil,Ltr,18,461.0,558.6,,,,"Sold by the litre. Supplied in a 5 L pack; pack price Rs 2793. Source sheet marks this row ""Per Pack price""."
998114,27101980,ELGI AIRLUBE PLUS - 20 L,Lubricants,Oil,Ltr,18,458.05,556.35,,,,"Sold by the litre. Supplied in a 20 L pack; pack price Rs 11127. Source sheet marks this row ""Per Pack price""."
998115,27101980,ELGI AIRLUBE PLUS - 50 L,Lubricants,Oil,Ltr,18,452.18,583.6,,,,"Sold by the litre. Supplied in a 50 L pack; pack price Rs 29180. Source sheet marks this row ""Per Pack price""."
998116,27101980,AIR LUBE PLUS LONG LIFE OIL210,Lubricants,Oil,Ltr,18,447.84,578.12,,,,"Sold by the litre. Supplied in a 210 L pack; pack price Rs 121405. Source sheet marks this row ""Per Pack price""."
998117,27101980,ELGI AIR LUBE XD-3L,Lubricants,Oil,Ltr,18,730.0,850.67,,,,"Sold by the litre. Supplied in a 3 L pack; pack price Rs 2552. Source sheet marks this row ""Per Pack price""."
998118,27101980,ELGI AIR LUBE XD-5L,Lubricants,Oil,Ltr,18,701.4,824.6,,,,"Sold by the litre. Supplied in a 5 L pack; pack price Rs 4123. Source sheet marks this row ""Per Pack price""."
998119,27101980,OIL AIR LUBE XD-20L (BPCL),Lubricants,Oil,Ltr,18,663.8,807.15,,,,"Sold by the litre. Supplied in a 20 L pack; pack price Rs 16143. Source sheet marks this row ""Per Pack price""."
998120,27101980,ELGI AIRLUBE XD - 50 L,Lubricants,Oil,Ltr,18,663.78,856.8,,,,"Sold by the litre. Supplied in a 50 L pack; pack price Rs 42840. Source sheet marks this row ""Per Pack price""."
998121,27101980,OIL AIR LUBE XD-210L (BPCL),Lubricants,Oil,Ltr,18,576.81,727.62,,,,"Sold by the litre. Supplied in a 210 L pack; pack price Rs 152800. Source sheet marks this row ""Per Pack price""."
998122,27101980,ELGI AIRLUBE PD-26L,Lubricants,Oil,Ltr,18,357.96,473.85,,,,"Sold by the litre. Supplied in a 26 L pack; pack price Rs 12320. Source sheet marks this row ""Per Pack price""."
998123,27101980,OIL ELGI AIRLUBE ELF RAC,Lubricants,Oil,Ltr,18,371.0,459.0,,,,"Sold by the litre. Supplied in a 1 L pack; pack price Rs 459. Source sheet marks this row ""Per Pack price""."
998124,27101980,OIL ELGI AIRLUBE 3LTR RAC,Lubricants,Oil,Ltr,18,355.67,444.67,,,,"Sold by the litre. Supplied in a 3 L pack; pack price Rs 1334. Source sheet marks this row ""Per Pack price""."
998126,27101980,ELGI RECIP AIR LUBE-1/2 L,Lubricants,Oil,Ltr,18,374.0,464.0,,,,"Sold by the litre. Supplied in a 0.5 L pack; pack price Rs 232. Source sheet marks this row ""Per Pack price""."
